"filename", "language", "Lua", "JSON", "TypeScript", "comment", "blank", "total"
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\Packages\Trove.lua", "Lua", 1, 0, 0, 0, 1, 2
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\Packages\_Index\sleitnick_trove@1.4.0\trove\index.d.ts", "TypeScript", 0, 0, 38, 1, 6, 45
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\Packages\_Index\sleitnick_trove@1.4.0\trove\init.lua", "Lua", 479, 0, 0, 38, 96, 613
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\Packages\_Index\sleitnick_trove@1.4.0\trove\init.spec.lua", "Lua", 174, 0, 0, 0, 23, 197
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\default.project.json", "JSON", 0, 24, 0, 0, 3, 27
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ReplicatedStorage\Libraries\BridgeNet\Bridge.lua", "Lua", 19, 0, 0, 0, 2, 21
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ReplicatedStorage\Libraries\BridgeNet\ClientBridge.lua", "Lua", 351, 0, 0, 12, 88, 451
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ReplicatedStorage\Libraries\BridgeNet\CreateBridgeTree.lua", "Lua", 45, 0, 0, 0, 13, 58
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ReplicatedStorage\Libraries\BridgeNet\SerdesLayer.lua", "Lua", 173, 0, 0, 9, 51, 233
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ReplicatedStorage\Libraries\BridgeNet\ServerBridge.lua", "Lua", 636, 0, 0, 24, 126, 786
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ReplicatedStorage\Libraries\BridgeNet\init.lua", "Lua", 141, 0, 0, 9, 39, 189
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ReplicatedStorage\Libraries\Zone\Enum\Accuracy.lua", "Lua", 6, 0, 0, 2, 0, 8
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ReplicatedStorage\Libraries\Zone\Enum\Detection.lua", "Lua", 4, 0, 0, 3, 1, 8
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ReplicatedStorage\Libraries\Zone\Enum\init.lua", "Lua", 84, 0, 0, 15, 17, 116
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ReplicatedStorage\Libraries\Zone\Janitor.lua", "Lua", 256, 0, 0, 30, 53, 339
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ReplicatedStorage\Libraries\Zone\OldSignal.lua", "Lua", 89, 0, 0, 3, 18, 110
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ReplicatedStorage\Libraries\Zone\Signal.lua", "Lua", 110, 0, 0, 49, 19, 178
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ReplicatedStorage\Libraries\Zone\VERSION.lua", "Lua", 0, 0, 0, 1, 0, 1
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ReplicatedStorage\Libraries\Zone\ZoneController\CollectiveWorldModel.lua", "Lua", 33, 0, 0, 2, 12, 47
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ReplicatedStorage\Libraries\Zone\ZoneController\Tracker.lua", "Lua", 193, 0, 0, 14, 33, 240
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ReplicatedStorage\Libraries\Zone\ZoneController\init.lua", "Lua", 440, 0, 0, 45, 49, 534
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ReplicatedStorage\Libraries\Zone\ZonePlusReference.lua", "Lua", 25, 0, 0, 4, 4, 33
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ReplicatedStorage\Libraries\Zone\init.lua", "Lua", 754, 0, 0, 48, 74, 876
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ReplicatedStorage\Libraries\init.meta.json", "JSON", 0, 3, 0, 0, 0, 3
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ServerScriptService\DataHandler\Template.lua", "Lua", 14, 0, 0, 0, 7, 21
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ServerScriptService\DataHandler\init.lua", "Lua", 31, 0, 0, 0, 11, 42
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ServerScriptService\Libraries\PlayerManager.lua", "Lua", 123, 0, 0, 0, 41, 164
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ServerScriptService\Libraries\ProfileService.lua", "Lua", 1891, 0, 0, 178, 348, 2417
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ServerScriptService\Libraries\init.meta.json", "JSON", 0, 3, 0, 0, 0, 3
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ServerScriptService\PlayerMain.server.lua", "Lua", 33, 0, 0, 0, 14, 47
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ServerScriptService\Tycoon\Components\Button.lua", "Lua", 100, 0, 0, 3, 16, 119
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ServerScriptService\Tycoon\Components\Despawn.lua", "Lua", 16, 0, 0, 0, 4, 20
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ServerScriptService\Tycoon\Components\Door.lua", "Lua", 45, 0, 0, 2, 14, 61
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ServerScriptService\Tycoon\Components\DoorUnlockable.lua", "Lua", 20, 0, 0, 0, 4, 24
