Date : 2024-10-05 00:04:08
Directory : c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement
Total : 66 files,  7964 codes, 580 comments, 1690 blanks, all 10234 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Lua        |         60 |      7,890 |        579 |      1,681 |     10,150 |
| TypeScript |          1 |         38 |          1 |          6 |         45 |
| JSON       |          5 |         36 |          0 |          3 |         39 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                       |         66 |      7,964 |        580 |      1,690 |     10,234 |
| . (Files)                                                                                                                                               |          1 |         24 |          0 |          3 |         27 |
| Packages                                                                                                                                                |          4 |        692 |         39 |        126 |        857 |
| Packages (Files)                                                                                                                                        |          1 |          1 |          0 |          1 |          2 |
| Packages\_Index                                                                                                                                         |          3 |        691 |         39 |        125 |        855 |
| Packages\_Index\sleitnick_trove@1.4.0                                                                                                                   |          3 |        691 |         39 |        125 |        855 |
| Packages\_Index\sleitnick_trove@1.4.0\trove                                                                                                             |          3 |        691 |         39 |        125 |        855 |
| src                                                                                                                                                     |         61 |      7,248 |        541 |      1,561 |      9,350 |
| src\ReplicatedStorage                                                                                                                                   |         19 |      3,362 |        270 |        599 |      4,231 |
| src\ReplicatedStorage\Libraries                                                                                                                         |         19 |      3,362 |        270 |        599 |      4,231 |
| src\ReplicatedStorage\Libraries (Files)                                                                                                                 |          1 |          3 |          0 |          0 |          3 |
| src\ReplicatedStorage\Libraries\BridgeNet                                                                                                               |          6 |      1,365 |         54 |        319 |      1,738 |
| src\ReplicatedStorage\Libraries\Zone                                                                                                                    |         12 |      1,994 |        216 |        280 |      2,490 |
| src\ReplicatedStorage\Libraries\Zone (Files)                                                                                                            |          6 |      1,234 |        135 |        168 |      1,537 |
| src\ReplicatedStorage\Libraries\Zone\Enum                                                                                                               |          3 |         94 |         20 |         18 |        132 |
| src\ReplicatedStorage\Libraries\Zone\ZoneController                                                                                                     |          3 |        666 |         61 |         94 |        821 |
| src\ServerScriptService                                                                                                                                 |         21 |      2,651 |        187 |        571 |      3,409 |
| src\ServerScriptService (Files)                                                                                                                         |          1 |         33 |          0 |         14 |         47 |
| src\ServerScriptService\DataHandler                                                                                                                     |          2 |         45 |          0 |         18 |         63 |
| src\ServerScriptService\Libraries                                                                                                                       |          3 |      2,017 |        178 |        389 |      2,584 |
| src\ServerScriptService\Tycoon                                                                                                                          |         15 |        556 |          9 |        150 |        715 |
| src\ServerScriptService\Tycoon (Files)                                                                                                                  |          8 |        282 |          4 |         92 |        378 |
| src\ServerScriptService\Tycoon\Components                                                                                                               |          7 |        274 |          5 |         58 |        337 |
| src\StarterGui                                                                                                                                          |         21 |      1,235 |         84 |        391 |      1,710 |
| src\StarterGui (Files)                                                                                                                                  |          1 |         68 |          5 |         36 |        109 |
| src\StarterGui\Cutscene                                                                                                                                 |         10 |        648 |         49 |        216 |        913 |
| src\StarterGui\Cutscene (Files)                                                                                                                         |          5 |        193 |          9 |         54 |        256 |
| src\StarterGui\Cutscene\ActionsDic                                                                                                                      |          5 |        455 |         40 |        162 |        657 |
| src\StarterGui\Cutscene\ActionsDic (Files)                                                                                                              |          2 |        149 |          4 |         33 |        186 |
| src\StarterGui\Cutscene\ActionsDic\CameraShaker                                                                                                         |          3 |        306 |         36 |        129 |        471 |
| src\StarterGui\Handlers                                                                                                                                 |         10 |        519 |         30 |        139 |        688 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                                | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\Packages\Trove.lua                                                           | Lua        |          1 |          0 |          1 |          2 |
| c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\Packages\_Index\sleitnick_trove@1.4.0\trove\index.d.ts                       | TypeScript |         38 |          1 |          6 |         45 |
| c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\Packages\_Index\sleitnick_trove@1.4.0\trove\init.lua                         | Lua        |        479 |         38 |         96 |        613 |
| c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\Packages\_Index\sleitnick_trove@1.4.0\trove\init.spec.lua                    | Lua        |        174 |          0 |         23 |        197 |
| c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\default.project.json                                                         | JSON       |         24 |          0 |          3 |         27 |
| c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ReplicatedStorage\Libraries\BridgeNet\Bridge.lua                         | Lua        |         19 |          0 |          2 |         21 |
| c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ReplicatedStorage\Libraries\BridgeNet\ClientBridge.lua                   | Lua        |        351 |         12 |         88 |        451 |
| c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ReplicatedStorage\Libraries\BridgeNet\CreateBridgeTree.lua               | Lua        |         45 |          0 |         13 |         58 |
